資料年月,縣市,燃料別,車種類別,數量
201801,臺北市,汽油,大客車,0
201801,臺北市,汽油,大貨車,0
201801,臺北市,汽油,小客車,6384
201801,臺北市,汽油,小貨車,273
201801,臺北市,汽油,特種車,11
201801,臺北市,汽油,機車重型,3942
201801,臺北市,汽油,機車輕型,36
201801,臺北市,汽油(油電),大客車,0
201801,臺北市,汽油(油電),大貨車,0
201801,臺北市,汽油(油電),小客車,169
201801,臺北市,汽油(油電),小貨車,0
201801,臺北市,汽油(油電),特種車,0
201801,臺北市,汽油(油電),機車重型,0
201801,臺北市,汽油(油電),機車輕型,0
201801,臺北市,汽油/LPG,大客車,0
201801,臺北市,汽油/LPG,大貨車,0
201801,臺北市,汽油/LPG,小客車,0
201801,臺北市,汽油/LPG,小貨車,0
201801,臺北市,汽油/LPG,特種車,0
201801,臺北市,汽油/LPG,機車重型,0
201801,臺北市,汽油/LPG,機車輕型,0
201801,臺北市,汽油/電能,大客車,0
201801,臺北市,汽油/電能,大貨車,0
201801,臺北市,汽油/電能,小客車,95
201801,臺北市,汽油/電能,小貨車,0
201801,臺北市,汽油/電能,特種車,0
201801,臺北市,汽油/電能,機車重型,0
201801,臺北市,汽油/電能,機車輕型,0
201801,臺北市,柴油,大客車,13
201801,臺北市,柴油,大貨車,37
201801,臺北市,柴油,小客車,523
201801,臺北市,柴油,小貨車,256
201801,臺北市,柴油,特種車,2
201801,臺北市,柴油,機車重型,0
201801,臺北市,柴油,機車輕型,0
201801,臺北市,柴油(油電),大客車,0
201801,臺北市,柴油(油電),大貨車,0
201801,臺北市,柴油(油電),小客車,0
201801,臺北市,柴油(油電),小貨車,0
201801,臺北市,柴油(油電),特種車,0
201801,臺北市,柴油(油電),機車重型,0
201801,臺北市,柴油(油電),機車輕型,0
201801,臺北市,柴油/電能,大客車,0
201801,臺北市,柴油/電能,大貨車,0
201801,臺北市,柴油/電能,小客車,0
201801,臺北市,柴油/電能,小貨車,0
201801,臺北市,柴油/電能,特種車,0
201801,臺北市,柴油/電能,機車重型,0
201801,臺北市,柴油/電能,機車輕型,0
201801,臺北市,液化石油氣,大客車,0
201801,臺北市,液化石油氣,大貨車,0
201801,臺北市,液化石油氣,小客車,0
201801,臺北市,液化石油氣,小貨車,0
201801,臺北市,液化石油氣,特種車,0
201801,臺北市,液化石油氣,機車重型,0
201801,臺北市,液化石油氣,機車輕型,0
201801,臺北市,電能,大客車,0
201801,臺北市,電能,大貨車,0
201801,臺北市,電能,小客車,31
201801,臺北市,電能,小貨車,0
201801,臺北市,電能,特種車,6
201801,臺北市,電能,機車重型,241
201801,臺北市,電能,機車輕型,15
201801,臺北市,電能(增程),大客車,0
201801,臺北市,電能(增程),大貨車,0
201801,臺北市,電能(增程),小客車,0
201801,臺北市,電能(增程),小貨車,0
201801,臺北市,電能(增程),特種車,0
201801,臺北市,電能(增程),機車重型,0
201801,臺北市,電能(增程),機車輕型,0
201801,臺北市,電能/汽油,大客車,0
201801,臺北市,電能/汽油,大貨車,0
201801,臺北市,電能/汽油,小客車,4
201801,臺北市,電能/汽油,小貨車,0
201801,臺北市,電能/汽油,特種車,0
201801,臺北市,電能/汽油,機車重型,0
201801,臺北市,電能/汽油,機車輕型,0
201801,臺北市,電能/柴油,大客車,0
201801,臺北市,電能/柴油,大貨車,0
201801,臺北市,電能/柴油,小客車,0
201801,臺北市,電能/柴油,小貨車,0
201801,臺北市,電能/柴油,特種車,0
201801,臺北市,電能/柴油,機車重型,0
201801,臺北市,電能/柴油,機車輕型,0
201801,臺北市,總計,大客車,13
201801,臺北市,總計,大貨車,37
201801,臺北市,總計,小客車,7206
201801,臺北市,總計,小貨車,529
201801,臺北市,總計,特種車,19
201801,臺北市,總計,機車重型,4183
201801,臺北市,總計,機車輕型,51
201802,臺北市,汽油,大客車,0
201802,臺北市,汽油,大貨車,0
201802,臺北市,汽油,小客車,3597
201802,臺北市,汽油,小貨車,350
201802,臺北市,汽油,特種車,7
201802,臺北市,汽油,機車重型,2620
201802,臺北市,汽油,機車輕型,10
201802,臺北市,汽油(油電),大客車,0
201802,臺北市,汽油(油電),大貨車,0
201802,臺北市,汽油(油電),小客車,75
201802,臺北市,汽油(油電),小貨車,0
201802,臺北市,汽油(油電),特種車,0
201802,臺北市,汽油(油電),機車重型,0
201802,臺北市,汽油(油電),機車輕型,0
201802,臺北市,汽油/LPG,大客車,0
201802,臺北市,汽油/LPG,大貨車,0
201802,臺北市,汽油/LPG,小客車,0
201802,臺北市,汽油/LPG,小貨車,0
201802,臺北市,汽油/LPG,特種車,0
201802,臺北市,汽油/LPG,機車重型,0
201802,臺北市,汽油/LPG,機車輕型,0
201802,臺北市,汽油/電能,大客車,0
201802,臺北市,汽油/電能,大貨車,0
201802,臺北市,汽油/電能,小客車,55
201802,臺北市,汽油/電能,小貨車,0
201802,臺北市,汽油/電能,特種車,1
201802,臺北市,汽油/電能,機車重型,0
201802,臺北市,汽油/電能,機車輕型,0
201802,臺北市,柴油,大客車,19
201802,臺北市,柴油,大貨車,20
201802,臺北市,柴油,小客車,273
201802,臺北市,柴油,小貨車,158
201802,臺北市,柴油,特種車,2
201802,臺北市,柴油,機車重型,0
201802,臺北市,柴油,機車輕型,0
201802,臺北市,柴油(油電),大客車,0
201802,臺北市,柴油(油電),大貨車,0
201802,臺北市,柴油(油電),小客車,0
201802,臺北市,柴油(油電),小貨車,0
201802,臺北市,柴油(油電),特種車,0
201802,臺北市,柴油(油電),機車重型,0
201802,臺北市,柴油(油電),機車輕型,0
201802,臺北市,柴油/電能,大客車,0
201802,臺北市,柴油/電能,大貨車,0
201802,臺北市,柴油/電能,小客車,0
201802,臺北市,柴油/電能,小貨車,0
201802,臺北市,柴油/電能,特種車,0
201802,臺北市,柴油/電能,機車重型,0
201802,臺北市,柴油/電能,機車輕型,0
201802,臺北市,液化石油氣,大客車,0
201802,臺北市,液化石油氣,大貨車,0
201802,臺北市,液化石油氣,小客車,0
201802,臺北市,液化石油氣,小貨車,0
201802,臺北市,液化石油氣,特種車,0
201802,臺北市,液化石油氣,機車重型,0
201802,臺北市,液化石油氣,機車輕型,0
201802,臺北市,電能,大客車,0
201802,臺北市,電能,大貨車,0
201802,臺北市,電能,小客車,26
201802,臺北市,電能,小貨車,0
201802,臺北市,電能,特種車,0
201802,臺北市,電能,機車重型,164
201802,臺北市,電能,機車輕型,43
201802,臺北市,電能(增程),大客車,0
201802,臺北市,電能(增程),大貨車,0
201802,臺北市,電能(增程),小客車,0
201802,臺北市,電能(增程),小貨車,0
201802,臺北市,電能(增程),特種車,0
201802,臺北市,電能(增程),機車重型,0
201802,臺北市,電能(增程),機車輕型,0
201802,臺北市,電能/汽油,大客車,0
201802,臺北市,電能/汽油,大貨車,0
201802,臺北市,電能/汽油,小客車,4
201802,臺北市,電能/汽油,小貨車,0
201802,臺北市,電能/汽油,特種車,0
201802,臺北市,電能/汽油,機車重型,0
201802,臺北市,電能/汽油,機車輕型,0
201802,臺北市,電能/柴油,大客車,0
201802,臺北市,電能/柴油,大貨車,0
201802,臺北市,電能/柴油,小客車,0
201802,臺北市,電能/柴油,小貨車,0
201802,臺北市,電能/柴油,特種車,0
201802,臺北市,電能/柴油,機車重型,0
201802,臺北市,電能/柴油,機車輕型,0
201802,臺北市,總計,大客車,19
201802,臺北市,總計,大貨車,20
201802,臺北市,總計,小客車,4030
201802,臺北市,總計,小貨車,508
201802,臺北市,總計,特種車,10
201802,臺北市,總計,機車重型,2784
201802,臺北市,總計,機車輕型,53
201803,臺北市,汽油,大客車,0
201803,臺北市,汽油,大貨車,0
201803,臺北市,汽油,小客車,5365
201803,臺北市,汽油,小貨車,352
201803,臺北市,汽油,特種車,32
201803,臺北市,汽油,機車重型,4658
201803,臺北市,汽油,機車輕型,3
201803,臺北市,汽油(油電),大客車,0
201803,臺北市,汽油(油電),大貨車,0
201803,臺北市,汽油(油電),小客車,123
201803,臺北市,汽油(油電),小貨車,0
201803,臺北市,汽油(油電),特種車,0
201803,臺北市,汽油(油電),機車重型,0
201803,臺北市,汽油(油電),機車輕型,0
201803,臺北市,汽油/LPG,大客車,0
201803,臺北市,汽油/LPG,大貨車,0
201803,臺北市,汽油/LPG,小客車,0
201803,臺北市,汽油/LPG,小貨車,0
201803,臺北市,汽油/LPG,特種車,0
201803,臺北市,汽油/LPG,機車重型,0
201803,臺北市,汽油/LPG,機車輕型,0
201803,臺北市,汽油/電能,大客車,0
201803,臺北市,汽油/電能,大貨車,0
201803,臺北市,汽油/電能,小客車,53
201803,臺北市,汽油/電能,小貨車,0
201803,臺北市,汽油/電能,特種車,0
201803,臺北市,汽油/電能,機車重型,0
201803,臺北市,汽油/電能,機車輕型,0
201803,臺北市,柴油,大客車,45
201803,臺北市,柴油,大貨車,67
201803,臺北市,柴油,小客車,387
201803,臺北市,柴油,小貨車,291
201803,臺北市,柴油,特種車,9
201803,臺北市,柴油,機車重型,0
201803,臺北市,柴油,機車輕型,0
201803,臺北市,柴油(油電),大客車,0
201803,臺北市,柴油(油電),大貨車,0
201803,臺北市,柴油(油電),小客車,0
201803,臺北市,柴油(油電),小貨車,0
201803,臺北市,柴油(油電),特種車,0
201803,臺北市,柴油(油電),機車重型,0
201803,臺北市,柴油(油電),機車輕型,0
201803,臺北市,柴油/電能,大客車,0
201803,臺北市,柴油/電能,大貨車,4
201803,臺北市,柴油/電能,小客車,0
201803,臺北市,柴油/電能,小貨車,0
201803,臺北市,柴油/電能,特種車,0
201803,臺北市,柴油/電能,機車重型,0
201803,臺北市,柴油/電能,機車輕型,0
201803,臺北市,液化石油氣,大客車,0
201803,臺北市,液化石油氣,大貨車,0
201803,臺北市,液化石油氣,小客車,0
201803,臺北市,液化石油氣,小貨車,0
201803,臺北市,液化石油氣,特種車,0
201803,臺北市,液化石油氣,機車重型,0
201803,臺北市,液化石油氣,機車輕型,0
201803,臺北市,電能,大客車,0
201803,臺北市,電能,大貨車,0
201803,臺北市,電能,小客車,44
201803,臺北市,電能,小貨車,0
201803,臺北市,電能,特種車,0
201803,臺北市,電能,機車重型,267
201803,臺北市,電能,機車輕型,20
201803,臺北市,電能(增程),大客車,0
201803,臺北市,電能(增程),大貨車,0
201803,臺北市,電能(增程),小客車,0
201803,臺北市,電能(增程),小貨車,0
201803,臺北市,電能(增程),特種車,0
201803,臺北市,電能(增程),機車重型,0
201803,臺北市,電能(增程),機車輕型,0
201803,臺北市,電能/汽油,大客車,0
201803,臺北市,電能/汽油,大貨車,0
201803,臺北市,電能/汽油,小客車,7
201803,臺北市,電能/汽油,小貨車,0
201803,臺北市,電能/汽油,特種車,0
201803,臺北市,電能/汽油,機車重型,0
201803,臺北市,電能/汽油,機車輕型,0
201803,臺北市,電能/柴油,大客車,0
201803,臺北市,電能/柴油,大貨車,0
201803,臺北市,電能/柴油,小客車,0
201803,臺北市,電能/柴油,小貨車,0
201803,臺北市,電能/柴油,特種車,0
201803,臺北市,電能/柴油,機車重型,0
201803,臺北市,電能/柴油,機車輕型,0
201803,臺北市,總計,大客車,45
201803,臺北市,總計,大貨車,71
201803,臺北市,總計,小客車,5979
201803,臺北市,總計,小貨車,643
201803,臺北市,總計,特種車,41
201803,臺北市,總計,機車重型,4925
201803,臺北市,總計,機車輕型,23
201804,臺北市,汽油,大客車,0
201804,臺北市,汽油,大貨車,0
201804,臺北市,汽油,小客車,4795
201804,臺北市,汽油,小貨車,289
201804,臺北市,汽油,特種車,6
201804,臺北市,汽油,機車重型,3672
201804,臺北市,汽油,機車輕型,1
201804,臺北市,汽油(油電),大客車,0
201804,臺北市,汽油(油電),大貨車,0
201804,臺北市,汽油(油電),小客車,125
201804,臺北市,汽油(油電),小貨車,0
201804,臺北市,汽油(油電),特種車,0
201804,臺北市,汽油(油電),機車重型,0
201804,臺北市,汽油(油電),機車輕型,0
201804,臺北市,汽油/LPG,大客車,0
201804,臺北市,汽油/LPG,大貨車,0
201804,臺北市,汽油/LPG,小客車,0
201804,臺北市,汽油/LPG,小貨車,0
201804,臺北市,汽油/LPG,特種車,0
201804,臺北市,汽油/LPG,機車重型,0
201804,臺北市,汽油/LPG,機車輕型,0
201804,臺北市,汽油/電能,大客車,0
201804,臺北市,汽油/電能,大貨車,0
201804,臺北市,汽油/電能,小客車,29
201804,臺北市,汽油/電能,小貨車,0
201804,臺北市,汽油/電能,特種車,0
201804,臺北市,汽油/電能,機車重型,0
201804,臺北市,汽油/電能,機車輕型,0
201804,臺北市,柴油,大客車,33
201804,臺北市,柴油,大貨車,44
201804,臺北市,柴油,小客車,393
201804,臺北市,柴油,小貨車,239
201804,臺北市,柴油,特種車,6
201804,臺北市,柴油,機車重型,0
201804,臺北市,柴油,機車輕型,0
201804,臺北市,柴油(油電),大客車,0
201804,臺北市,柴油(油電),大貨車,0
201804,臺北市,柴油(油電),小客車,0
201804,臺北市,柴油(油電),小貨車,0
201804,臺北市,柴油(油電),特種車,0
201804,臺北市,柴油(油電),機車重型,0
201804,臺北市,柴油(油電),機車輕型,0
201804,臺北市,柴油/電能,大客車,0
201804,臺北市,柴油/電能,大貨車,0
201804,臺北市,柴油/電能,小客車,0
201804,臺北市,柴油/電能,小貨車,0
201804,臺北市,柴油/電能,特種車,0
201804,臺北市,柴油/電能,機車重型,0
201804,臺北市,柴油/電能,機車輕型,0
201804,臺北市,液化石油氣,大客車,0
201804,臺北市,液化石油氣,大貨車,0
201804,臺北市,液化石油氣,小客車,0
201804,臺北市,液化石油氣,小貨車,0
201804,臺北市,液化石油氣,特種車,0
201804,臺北市,液化石油氣,機車重型,0
201804,臺北市,液化石油氣,機車輕型,0
201804,臺北市,電能,大客車,0
201804,臺北市,電能,大貨車,0
201804,臺北市,電能,小客車,9
